,length,OXF1071_S29,OXF1147_S30,OXF1623_S50,OXF2544_S53,OXF936_S52,OXF939_S51,RC01_S1,RC04_S2,RC05_S26,RC09_S4,RC15_S5,RC16_S6,RC20_S7,RC23_S8,RC24_S9,RC27_S31,RC28_S32,RC30_S33,RC31_S10,RC32_S11,RC33_S12,RC34_S13,RC35_S14,RC37_S34,RC38_S15,RC45_S35,RC46_S36,RC47_S37,RC48_S38,RC50_S16,RC51_S39,RC52_S17,RC54_S40,RC55_S41,RC57_S42,RC60_S18,RC65_S43,RC66_S44,RC68_S19,RC70_S20,RC71_S21,RC73_S45,RC75_S46,RC79_S47,RC81_S22,RC82_S23,RC85_S48,RC87_S24,RC88_S25,RC89_S3,RC90_S27,RC91_S28,RC92_S49,sum,
I_lacunosa-Solyc01g110320.2.1_1,2380,0,602,0,0,232,0,1226,303,455,4242,296,0,608,1176,159299,186,0,0,0,1119,0,0,0,0,19650,0,285,0,592,300,270,0,0,0,290,0,442047,3188,2414,2811,857,1024665,44635,0,2192,31808,0,1104,282,0,544,294,0,1750352,
I_lacunosa-Solyc01g112240.2.1_1,3921,1026,1598,1062,1270,292,508,4210,3453,1214,1288,424,107910,2430,14051,1307,992,216148,216,0,3478,1450,0,274,0,111652,0,1062,0,2604,0,0,2689,204,3230,12154,999,216552,264457,20529,9799,25150,710,464670,0,2670,1980,1888,1280,302,0,470,0,0,1513573,
I_lacunosa-Solyc11g020060.1.1_1,1489,0,1338,3822,2025,88483,0,108515,4089,298,245377,0,598,59787,4926,3400,1020,396,0,0,762,0,0,702,0,575,0,42619,980,5694,1192,440,7241,170,0,504,846,762216,42582,1230,69631,347147,62660,78686,0,4384,2197,0,2799,1350,244,1148,588,0,1964150,
I_lacunosa-Solyc01g096600.2.1_1,7685,895,5921,2887,1606,1623,336,147328,62705,1726,3337,13388,7784,6344,464411,2067,532,840,0,0,198075,4651,0,0,0,3048,0,595,414,120699,1153,604,6776,1178,2136,288,9826,457156,182918,6235,229278,554142,6241,84363,0,16582,3214,804,1998,18536,0,604,11563,0,2654492,
I_lacunosa-Solyc02g079040.2.1_1,3227,1688,7855,155338,16715,102145,0,98540,12767,896861,146411,133958,5342,9679,9763,3189,478,260,4028,0,1814,8279,0,1877,0,1253,1736,44780,164,484372,2247,920,44218,10778,354,822,574996,556927,599764,9752,519467,10185,1120,1160905,0,46433,4675,0,5353,211199,0,1944,4702,0,5919280,
I_lacunosa-Solyc08g082830.2.1_1,6070,35189,373980,1185756,9750,52571,2589,48557,2039839,370883,13946,1912299,898292,73206,16806,39301,7943,474431,14383,0,12740,680800,0,14738,806,298272,105728,314964,7549,14789,4378,162843,1261366,41028,3586,1243,11432,3669764,193501,627931,2903586,2473338,1196036,611475,2448,107991,762345,1606,129684,443313,1734,6079,20777,0,23663661,
I_lacunosa-Solyc11g039830.1.1_1,3141,542,1185815,130340,254,604,0,361391,1419,58497,2550,2812,1878,192942,10639,180823,158,0,0,0,0,61436,0,1748,0,436403,551,3948,0,1390,603,1611,16965,500,134,802,7807,142130,484145,1959,603973,2296,588,372421,0,421560,1876,0,2784,692,0,488,552,0,4703167,
I_lacunosa-Solyc06g073280.2.1_1,2238,590150,1475,3159,897,686,0,333654,1041696,902,596,1198,1780,3436,4476,561,236,352,0,0,621,1599,0,437,0,454,14744,302,0,3121,288,474,816,0,0,3640,2946,207712,14635,2995,56299,248308,548,3954,0,4167,483,268,522,1709,0,152810,811,0,2712155,
I_lacunosa-Solyc06g073280.2.1_2,3318,1223,330942,5778,2551,116321,0,10130,235820,1892,535,21270,5829,4902,550290,1367,402,0,730,0,534,1298,0,26693,0,668834,248,218,12644,6034,778,944,1180,822,106,23919,6665,61820,49263,1498,6134,428895,837255,614757,0,97982,22505,72,1354,608,0,30182,106550,0,4303092,
I_lacunosa-Solyc11g067090.1.1_1,4950,1688,1490025,68049,3474,56361,0,51235,150366,1945,14111,247720,346758,4099,9207,885,906,356,1028,0,3571,486451,114,2833,106,2056,1146,768,604,7314,2138,0,5283,572,51387,0,6506,28823,184030,32523,234909,232848,3183,303009,0,575641,147703,102,13557,6629,0,32719,3451,0,4823139,
I_lacunosa-Solyc08g079070.2.1_1,6110,365,689932,3251,19285,58370,258,25644,163668,11331,291676,2839,13155,5237,11085,3488,0,0,190269,0,1396,906,31,13876,0,726,1018,32,2022,5197,37266,1216,1770,150,1129,14671,5802,1104955,203822,3549,477600,4329,2795,297332,0,159239,132927,176,33019,1408,132,560,607,153,4005774,
I_lacunosa-Solyc05g005080.2.1_1,2238,2686,215873,36559,221779,778,602,42332,27492,745276,68353,6490,477021,7366,671949,4532,1222,278,10199,0,6059,3065,300,3073,280,2354,19142,5080,504,219236,2405,134655,511192,2315,1818,2504,8656,1319260,110178,23878,309199,517191,211127,401894,0,75927,28902,97963,217768,101188,0,170509,2823,0,7053470,
I_lacunosa-Solyc08g074560.2.1_1,5403,0,93184,3381,5899,302,154963,9735,162990,441447,155875,2416,3747,4320,21820,428,360,203224,1041,0,1770,308,0,29893,146,1687,604,878,90,15150,1138,1840,3590,208,366,90122,3273,990837,193246,4379,38309,865251,2336,377662,0,4484,9982,988,1083,1610,0,44080,900,0,3956745,
I_lacunosa-Solyc12g013890.1.1_1,3884,468,2113,1208,1524,0,0,249267,1747,2478,872,1059,2428,2283,4971,1657,328,168882,354,0,1232,552,0,0,114,21275,104,618,100,2429,1124,0,614,448,1018,681,3180,15501,568643,0,107430,1228,2016,8987,0,6603,1956,200,606,1659,0,153,307,0,1194301,
I_lacunosa-Solyc10g083920.1.1_1,3332,2148,1359663,82561,507949,1028,276,12373,4050,3535,8914,2573,279004,747445,21553,2595,0,1920,632,0,3686,1028,0,5434,492,31642,0,1750,778,7094,1154,680,591966,1578,1092,1484,603400,1357682,36708,5149,1045873,415689,1519,653873,0,10882,170928,5116,29364,24402,0,19014,5568,988,8077564,
I_lacunosa-Solyc03g063340.2.1_1,3793,1327,5531,32721,116267,819,13096,1961,1342,0,752787,45210,1289,320893,3545,2114,200,725,0,0,3489,1061,0,1967,0,302,92,88272,0,2874,918,974,2060,268,350,25976,151340,1007304,22232,3486,768424,5745,5633,458522,0,43888,5295,684,285817,1793,0,3873,3592,0,4199851,
I_lacunosa-Solyc08g014060.2.1_1,4477,1391,5310,116559,5843,1578,0,32477,1737,2686,169715,908,3192,10017,7328,2498,920,590,3036,0,1475,597,0,1294,0,3238,260,2912,27830,450460,1394,903,2407,945,428,5547,3454,416250,11509,4724,532820,6112,17180,366825,0,8606,7446,10388,1695,1480,0,1778,1505,0,2261724,
I_lacunosa-Solyc11g005010.1.1_1,4985,537664,2244,1847,73959,1332,282,993608,321896,3465,681050,67981,1719,1660,5266,1816,324,996,328,0,5323,133622,0,1236,112,4246,688,414,630,3225,326,0,1809,646,0,55703,249975,54802,484197,7879,62340,544964,1358,2796,0,6209,191756,338,2347,3480,0,678,555,0,4524076,
I_lacunosa-Solyc07g007560.2.1_1,5555,1273,283852,185236,256478,4450,40533,6137,15244,917877,357725,85265,92362,4820,447982,123132,17447,49928,1666,0,2270,199065,0,57757,590,31415,3693,52033,1604,1791,205,1231,2121,1812,2145,13565,35476,670460,798534,7247,454931,99720,8803,2115241,175,157005,54360,4780,44682,18196,50430,129740,3263,0,7921302,
I_lacunosa-Solyc12g026400.1.1_1,5374,198,2726,2367,10605,135968,755,29847,5393,132336,71579,70724,5668,133283,7603,224363,50764,2182,0,0,2376,6990,0,1849,0,424,97767,469,452,12808,1098,400,1334,1016,3936,222,10577,15838,19663,3507,195673,344273,11919,566312,0,8175,2896,47,11226,254,0,484,879,0,2214599,
I_lacunosa-Solyc03g082660.2.1_1,2684,2648,1722,4364,912,503,0,15322,1459,105,3935,173246,1744,112779,2254,1270,486,324,458,0,1406,302,0,2528,96,1584,0,2233,0,1719,302,404,1284,0,65,530,36471,14828,262365,1200,152151,597881,18062,265941,0,1190,2910,498,4199,0,0,100,2490,0,1698954,
I_lacunosa-Solyc05g016330.2.1_1,7142,29594,31679,20327,2511,0,0,60898,48098,26230,39257,3084,6979,3446,7369,85707,192,160,770,35,143668,272,38,284,414,1751,432,1272,747,7869,2416,0,3289,670,1291,806,243034,501952,268560,290790,90676,2007,38878,329085,0,493329,9910,0,6816,630,38,1562,1135,76,2817175,
I_lacunosa-Solyc10g085300.1.1_1,2743,900,1036,4164,1304,340,0,2301,0,1168,2515,5142,572,2824,3313,1089,988,2952,4439,0,2731,302,0,476,120,236,0,907,0,444,17476,0,1903,604,1308,120,6071,41503,93601,816,106853,65883,604,1764,0,1973,6861,0,1484,278964,0,1226,0,0,672020,
I_lacunosa-Solyc05g006470.2.1_1,5312,748,911263,3474,62003,936,293,6883,3880,2301,175656,1940,31399,2056,901424,4242,616,206,156,0,2081,1927,0,356,0,157609,72498,1950,59959,2618,0,1522,4640,0,672,0,322513,87904,19651,3005,366308,25781,3794,381385,0,221684,2956,0,268851,452,0,0,0,0,4124904,
I_lacunosa-Solyc06g035600.2.1_1,2976,3331,1193,106908,5904,138,0,345073,3197,1049,37710,2977,13397,747082,41883,1461,482,29383,728,0,3975,7592,0,29707,152,1184,0,1163,146,832,3549,340,1096,1062,1602,424,5652,15754,57798,2389,39943,10832,741,306839,0,7635,3734,276,6525,2000,0,134404,13287,0,2005505,
I_lacunosa-Solyc12g096520.1.1_1,2089,228305,19386,163238,864,216,0,4332,1266,798,8342,581873,2121,5707,8075,498,162,52,30230,0,819,594,0,234,102,287094,18688,151,0,5046,1399,1398,3368,1953,376,1684,6906,1035974,28942,4821,241083,568,2326,545639,0,26257,2247,294,2107,270,0,1073,894,0,3279861,
I_lacunosa-Solyc02g070440.2.1_1,3829,4820,1460,2290,894,510,178,9670,1200,2030,9573,311606,1967,2676,16193,305,2862,0,0,0,864,302,0,534,0,292,0,901,1196,1100,570,0,8533,626,10324,9638,1454,815470,3962,5067,114352,302,602,1223214,0,2487,279392,136,750,1306,0,362,2530,0,2858329,
I_lacunosa-Solyc11g005220.1.1_1,2475,391,0,1208,425852,0,0,68667,298,2250,897,284,2345,291,2196,0,242,0,0,0,604,158,0,0,0,580,0,0,252,1517,299,230,300,0,0,0,29371,6639,13066,1197,24263,0,1317,115210,0,1118211,591,0,2475,436,0,0,0,0,1824112,
I_lacunosa-Solyc03g005680.2.1_1,1114,3721,1240126,26786,5567,3555,0,22884,320578,9524,464239,111556,44199,44123,47068,69436,480,294387,5674,0,5129,4732,0,3540,0,4724,7782,3242,1929,175219,2166,668,9508,3200,918,99357,92244,3456739,79908,16426,201697,861783,301985,621159,0,227869,25264,314,6441,427650,122,89191,9981,0,9455904,
I_lacunosa-Solyc03g118800.2.1_1,2441,3781,18056,33345,9200,568,460,372464,608223,284927,2516,4173,6540,4148,10271,5039,324,0,845,0,729304,4947,0,2607,0,1196,1655,707,548,3606,431,604,6099,2155,2342,77357,4974,214257,30719,4973,959459,63565,5691,292913,0,21245,15567,2140,13477,2518,176,1702,142611,0,3976866,
I_lacunosa-Solyc10g008980.2.1_1,2615,1988,8466,365982,3296,152462,208,118127,4499,3441,5066,2881,5102,3927,1041259,3770,190,230,1052,0,385371,13959,0,1243,80,698,6322,1486,4210,4147,582,60,3599,1045,127205,122,488072,267969,2084387,9786,213647,371552,2810,862397,0,59655,7945,53743,4778,11349,0,1915,2270,0,6716965,
I_lacunosa-Solyc08g061970.2.1_1,3886,4791,58765,27372,389,1174,756,2012,26426,2779,2584,99155,1496,3868,2036,2285,128,0,170,0,931,1052,0,2433,0,140,160,2980,50274,2275,1009,806,2397,952,274,7988,3983,8599,79535,2208,26844,295913,4514,706513,133,33820,70138,545,46495,1502,0,1024,2497,0,1598006,
I_lacunosa-Solyc03g121640.2.1_1,3892,55168,20022,142296,2819,960,1158,17284,54063,3023,4939,2666,6553,4644,11163,5282,1116,454,744,0,2073,1185,0,1512,0,71369,225,1720,954,115831,1508,1248,8993,1359,1051,738,62817,429512,699197,10549,599003,69624,52342,764777,58,79071,851202,794,2452,1181687,0,5401,3426,0,5359924,
I_lacunosa-Solyc07g043550.2.1_1,4347,185,136555,9670,1240,420,0,78028,3280,17989,5015,5388,2815,5963,3589,111787,520,355,288,0,2299,1164,0,978,162,0,0,802,17399,3622,989,256,3220,822,1008,576,3183,699367,135361,5464,126969,81731,3234,344624,111,98181,15193,0,4815,28080,0,1364,604,0,1969012,
I_lacunosa-Solyc05g012270.2.1_1,3208,7730,153260,6460,44004,416,0,7029,87040,593683,173492,19022,30974,3349,12402,5077,598,166,81993,0,3111,1209,0,326,108,30254,1546,2609,1561,5141,1863,0,4054,446,660,958,8819,875499,140095,8806,18091,495301,3421,821235,0,59652,138571,2758,3694,1299,0,1298,1833,0,3864121,
I_lacunosa-Solyc01g008820.2.1_1,3480,610,4000,3184,931,0,0,2957,526,604,50,308868,604,0,1743,200,0,0,92,0,308,0,0,6964,0,162,0,302,222,1461,0,0,2481,1004,122,0,54588,5556,427127,1647,277344,1637,702,37432,0,3751,1481,0,2702,3017,0,0,291,0,1158150,
I_lacunosa-Solyc08g079530.2.1_1,3626,3405,11183,172920,385540,282633,1397,183031,846498,451401,6529,78750,11188,7052,87118,36829,2694,16055,6902,0,1332,3804,0,8880,0,12645,3394,5013,389768,4714,1608,1878,7162,9778,192528,2532,263530,64499,154292,9366,181469,7815,5237,1193077,0,169972,33006,1156,4521,4155,80,4847,5558,0,5342367,
I_lacunosa-Solyc04g051830.2.1_1,4233,586,18961,2054,2080,0,0,968576,1000,863,20397,67425,2133,2656,555,1641,302,222,512,0,286,0,0,0,0,574,332,444,0,2614,2114,5520,154,0,100,1264,1680,409850,11872,1610,75250,1405,56677,82049,0,4240,2035,0,2038,0,0,584,1577,0,1758465,
I_lacunosa-Solyc05g006910.2.1_1,4606,1332,633654,156562,2277,8969,1145,10877,4689,3776,5820,691906,4760,4928,8830,3662,689,6047,0,0,2889,671,0,2084,158,522,198223,1592,2073,9350,2419,302,3986,838,1964,1700,2547,689799,84799,3285,26335,22903,2944,374025,0,46292,106370,0,7272,15137,0,2600,911,0,3168519,
I_lacunosa-Solyc12g015780.1.1_1,4433,2263,119211,4324,7519,0,164,2961,316,140,2450,12658,54030,812,4588,1121,308,31893,217,0,659,1224,0,0,0,262562,644,386,51209,4225,396,0,94,1674,590,3370,2752,77449,14643,1395,39892,1505,3492,108745,0,7544,1869,0,2213,2146,0,154,746,0,840986,
I_lacunosa-Solyc04g039620.2.1_1,2704,302,2643,387,531930,0,0,2199,1800,62175,1246,0,2401,449,4632,1448,138,628,0,0,305,0,0,0,0,275464,136,598,0,1648,0,0,2975,193,196,1540,1647,352779,260440,1837,6945,1592,317,233130,0,6397,634,0,1994,0,58,0,33,0,1765940,
I_lacunosa-Solyc08g005410.2.1_1,9341,180488,440118,27154,23316,1096,6826,13858,55924,21955,16636,496402,3764,7106,73852,301700,1290,384,93904,0,4439,19967,0,980,70,1690,852,2352,604,799507,0,1322,2939,746,645,3617,270702,1745612,534181,13001,231747,286932,8496,792973,0,382793,61796,428,6027,675,30,856,3319,0,6954412,
I_lacunosa-Solyc03g019850.2.1_1,4382,244,3591,300,418,0,0,6102,80158,1468,805633,443,6737,19221,4910,618,1214,18352,14829,0,1246,1110,0,285,0,2772,0,302,0,1200,0,0,1688,1356,802,750,2130,29340,556498,2726,121029,3693,141799,65351,146,5716,2040,588,54349,533,0,1202,906,0,1968177,
I_lacunosa-Solyc03g019950.2.1_1,6251,163602,11143,64515,9267,12662,79725,361576,479790,1246705,217700,44401,244158,20424,12182,570725,6330,1910,468,0,8290,634007,75,3933,186,151274,112230,4420,3041,649700,2559,1798,79871,2186,1856,20417,634260,2096949,290345,552873,1096568,327020,9463,1038783,0,43186,107268,5822,2502,6489,0,312,8644,0,11449861,
I_lacunosa-Solyc10g005650.2.1_1,7008,7218,571800,618366,152418,242,858,399477,840806,6898,15757,13078,11466,7809,373405,5069,2242,390,43536,0,423489,2727,0,1304,0,1016,1932,2884,1768,185442,1140,1992,16875,3453,660,49313,12213,4067901,91959,48701,43792,123262,7673,787690,0,40202,17589,4256,205824,2448,0,28143,13600,0,9267091,
I_lacunosa-Solyc12g014380.1.1_1,4792,450,3202,3600,4828,716,446,253146,509708,6750,8697,85008,7117,2105,923101,227632,964,254,124720,0,5982,2123,37,477,160,4526,1576,3316,2904,4338,3678,2635,4970,2658,1136,1090,164795,1829133,112847,83799,294639,75664,5102,892070,0,5456,17729,908,6201,2932,0,1230,2641,0,5703988,
I_lacunosa-Solyc11g007170.1.1_1,3307,5096,34998,6751,478394,702471,600,33117,4860,798672,26024,5921,5351,5099,174760,387646,3288,0,2004,0,3067,8234,0,17413,2285,770,1606,4064,636,5461,0,0,33976,926,0,862,19099,37095,757521,9254,67246,21687,3965,1825011,0,23909,84935,108,7408,65815,78,5601,10172,0,5696563,
I_lacunosa-Solyc01g090750.2.1_1,3790,0,12618,132837,22578,1304,0,6450,150443,49897,90048,495587,5027,6631,30859,1724,134,0,276,0,5353,16836,0,804,0,1260,990,2115,1048,638755,900,2253,5582,2081,842,1862,127887,731231,6765,576227,124926,726316,16223,1328677,0,8863,1450,17053,3754,58492,0,93913,1531,0,5514192,
I_lacunosa-Solyc04g063360.2.1_1,9249,2732,2787,9647,172615,400,675,4892,135195,3411,5594,12710,5046,5026,302832,2863,629,898,11459,0,2617,0,34,436,0,178204,258,2891,1402,5585,2667,1918,1353,51280,680,1142,17969,586941,22768,39375,5177,9670,12226,361053,0,149377,2648,0,118075,12182,0,894,46188,0,2323670,
I_lacunosa-Solyc09g091580.2.1_1,5857,594,27323,2069,1409,243157,846,480811,46467,1911,396834,3157,2604,2552,5496,1042338,162,160,0,0,2553,143505,0,886,468,370463,602,4808,662,154615,404,1619,1636,584,78486,2584,20783,2677854,12806,4881,327536,112998,307563,224054,68,8299,8226,912,109008,51934,0,1962,3198,0,6899704,
I_lacunosa-Solyc02g087240.2.1_1,1456,10683,568435,7355,660361,1890,0,391246,889098,5365,16880,977409,7681,5476,1050856,27417,1658,65773,804970,0,35387,5096,0,2161,254,88630,684,239879,1232,63877,818,535130,257197,1989,964,2244,316064,353760,745107,279036,1046320,729229,2691,405279,0,201703,641732,2540,51768,2384,0,2875,52989,0,11563028,
I_lacunosa-Solyc06g048590.2.1_1,3359,534283,253319,10877,506165,534,1322,1343855,264647,1622111,22307,155798,13989,15656,28177,48554,8815,18308,575,0,6676,85245,0,4260,372,1378,974,9264,1910,9379,77171,12054,100031,1459,588,206899,158133,1062941,224475,7931,697106,15314,81172,2028066,82,763461,81959,2404,981907,1952,146,50393,5345,0,11533098,
I_lacunosa-Solyc05g056010.2.1_1,1353,1048,2401,117065,1156,792,0,5847,21083,4526,617128,9374,4320,7041,141645,1208,168,114,1448,0,5892,46686,0,540,784,360,554,3367,404,3018,1691,810,3458,908,608,21200,50341,194083,18522,3672,212089,134284,2488,412317,88,110780,232540,488,20530,1784,0,2940,1468,0,2426411,
I_lacunosa-Solyc09g018790.2.1_1,3024,607,1057894,2693,1344,134,906,5432,12132,6404,4695,16970,4516,3839,32707,6422,0,283812,0,0,744,912,0,1392,0,8000,824,811,286,2271,1591,607,122965,2108,380,312,1839,1415515,109398,3488,6551,91258,30061,345904,0,6220,6068,260,1158,780,102,1166,816,612,3607930,
I_lacunosa-Solyc01g091010.2.1_1,2541,494,1598,854,1288,0,234,55185,2122,1155,38450,612,7377,12328,3577,645,367,308,492,0,454,1941,0,249,0,0,424,4812,1288,6866,289,0,0,922,178,56835,17655,585182,11081,1232,20533,0,405,220412,168,34714,2546,108,13659,124,0,1074,1952,0,1114730,
I_lacunosa-Solyc08g062190.2.1_1,4054,305,471116,4555,9157,0,0,3255,165511,1617,1454,1387,4423,1245,137226,881,776,0,182,0,13845,474,116,630,80,0,384,509,1897,4594,164,60,284,9039,196,5751,630,1387531,24406,1818,3973,368420,1302,142892,0,1332,5062,412,56462,0,750,393,248,0,2840798,
I_lacunosa-Solyc12g036130.1.1_1,1752,0,0,270,793,524,0,1141,492,0,1206,0,646,602,2301,870,0,42982,0,0,266,550,0,0,0,0,0,0,0,198,0,302,305,448,648,186,0,5889,1708,936,415727,151,6580,1442,0,2343,873,0,0,0,0,0,0,0,492131,
I_lacunosa-Solyc12g096110.1.1_1,2588,1466,22023,4097,2209,1174,0,231453,44834,7310,3963,2697,2587,252523,12662,102086,824,0,1068,0,4360,873,0,2646,0,140,198110,4179,496,4085,84,448,1753,608,278,24462,7609,79954,136910,4235,151882,22894,476,839798,0,19743,4742,4242,180403,1996,0,516,1950,0,2395436,
I_lacunosa-Solyc03g093160.2.1_1,3512,482,2723,41138,1905,0,601,1776,51485,2619,5024,1367,2737,4129,6897,403,168,235735,718,0,2428,1782,0,488,0,0,0,15907,150750,3075,544,2792,2059,451,942,188,19427,149752,226992,157463,36267,71221,1406,740916,120,131832,2681,21525,9769,1815,0,1139,1507,0,2118657,
I_lacunosa-Solyc01g103890.2.1_1,2280,232,283516,1928,1455,1134,299,3425,874930,9016,34356,15002,3378,2392,5260,16124,881,45573,710,0,3769,1224,0,2938,0,46310,950,988,96,2529,2180,5094,1655,1096,201495,0,5556,28366,497717,1806,6988,4624,1326,209315,0,6795,319523,92,607,2737,0,1573,961,0,2660201,
I_lacunosa-Solyc04g055200.2.1_1,2967,911,3011,11326,1812,286,378,6692,2209,1835,632824,1592,78031,1639,3696,1411,766,160,0,0,143073,5922,0,7175,128,46104,906,368,674,608,267,2416,1195,0,1390,86,1208,489936,8686,1506,3129,671473,1938,107920,0,89411,574945,28822,91838,564,0,1150,1566,0,3035950,
I_lacunosa-Solyc07g064910.2.1_1,3920,818,14988,1718,1595,104772,0,1863,899,1142,2237,106393,3279,3230,12600,0,0,229,946,0,302,15297,0,302,0,45359,98,1588,0,3874,248,1570,3150,262,394,332,1817,474237,361187,6819,6506,371901,2106,48896,0,158784,134615,794,1462,165,0,1076,1454,0,1905224,
I_lacunosa-Solyc01g099100.2.1_1,8603,451354,32068,740843,15256,11982,161803,1029369,639423,17495,628294,114920,12817,292028,157170,119271,4044,18143,2439,0,9347,8863,0,15539,0,68869,2754,3743,159505,828301,18558,3066,20230,3000,41567,16868,19332,1415084,140521,15437,407440,66447,204822,2048945,86,118389,137938,894,9515,41305,188,2905,71096,0,10357876,
I_lacunosa-Solyc01g108150.2.1_1,5611,2212,71970,18320,1192,776,606,4651,2504,64031,678725,115038,493053,3736,101798,3190,912,162,988,0,5264,1240,0,914,396,202,446,34619,246,9867,71553,5902,2205,516,542,11171,3113,1399871,5981,4165,165692,3034,4116,143139,0,597614,3306,396,128190,28330,0,354,289820,0,4491679,
I_lacunosa-Solyc01g108510.2.1_1,1589,302,540,160,271,0,200,2378,0,0,0,264,301,298,828,464,0,73060,0,0,1798,484,0,570,0,108,0,636,0,610,0,0,0,300,0,0,0,2423,3292,604,298,3753,630,1004,0,1803,1417,0,365,0,0,0,0,0,100750,
I_lacunosa-Solyc01g107880.2.1_1,5798,4891,978370,615810,6164,35931,204,331839,8933,72270,51525,599138,161229,11981,23514,236889,2982,382,2654,50,91728,2717,0,1013,0,9942,1980,4450,1618,115598,3083,1491,7408,1104,140,1080,7499,2904403,490239,15615,1055406,565873,85694,2372870,0,309094,165720,1780,22085,6272,296,3426,871481,0,12271659,
I_lacunosa-Solyc09g091840.2.1_1,7068,587,3838,301548,1787,2056,834,11444,274982,2669,426700,1924,2324,2074,8345,2366,0,106,0,0,3510,34832,0,0,0,622,0,766,0,1619,786,702,162515,516,61954,682,2393,23260,10033,100396,11290,6251,83152,79677,0,8558,2892,0,638,498007,0,1356,6755,0,2153814,
I_lacunosa-Solyc01g100500.2.1_1,2106,1934,263068,902656,2397,219389,0,5103,2989,1956,13506,905,1821,1108,4468,1113,518,599,352,0,2639,302,0,0,0,3296,0,598,1096,1268,536,2385,865,312,0,434,91802,68100,58645,1506,118181,24302,599,54640,0,10654,1784,0,1762,140715,372,520,3168,0,2016469,
I_lacunosa-Solyc01g058010.2.1_1,3671,535,6838,1672,163792,136,111,48302,3038,1909,14190,78333,3595,33041,144188,2217,94,440,0,0,29203,1116,147,768,0,42480,244,2178,1670,3042,587,412,2573,558,124,39693,12202,268695,300323,48578,23530,4503,3004,311085,86,39496,2301,520,130040,626,26070,1530,906,0,1804392,
I_lacunosa-Solyc06g034160.2.1_1,3666,903,2775,2323,6841,932,0,1543,1517,815623,2235,2417,2920,2095,2459,1540,780,0,86650,0,1083,2978,0,571,0,1013,464,940,0,16185,596,0,870,3183,60688,1942,74,525399,7735,3404,256476,1566,5450,234161,0,6977,4195,280,3777,1226,0,254,2335,0,2081041,
I_lacunosa-Solyc08g080510.2.1_1,2522,2197,16780,2829,1442,0,1556,2500,369587,4814,2703,1699,4465,1887,5915,506238,752,0,5662,0,1812,1722,0,562,0,150,0,386,128,71641,1604,296,4205,0,416,0,209141,21753,3954,3909,4609,3214,1837,1054540,0,69042,2905,102,771,465,0,0,2625,0,2395337,
I_lacunosa-Solyc02g090810.2.1_1,1502,0,770,395,1432,0,0,222,0,589,560,598,885,1742,1325,452,0,0,0,0,0,1008,0,5322,0,0,0,0,448,592,138,148,290,556,0,312,658,33017,6476,829,20421,905,389392,358,0,1962,0,0,0,0,0,107,300,0,473711,
I_lacunosa-Solyc02g090670.2.1_1,2638,0,1710,0,309,0,0,59764,330736,1625,3001,0,14192,824,1208,37657,0,245399,0,0,1091,1454,64,19272,0,206,0,22911,0,1598,1331,0,900,254,0,346,302,4423,8422,21914,12598,522,812,1762,0,5579,23154,0,100805,0,0,660,0,0,929443,
I_lacunosa-Solyc02g065070.2.1_1,3718,1327,6854,1870,9582,2970,0,78295,138615,80932,240507,856,18657,4617,7920,26811,216,198,2396,0,1982,1804,0,978,0,948,592,4493,2150,17938,734,2335,3039,1072,240,828,4507,506962,25097,1841,9334,5244,726,772869,0,156689,7295,1656,10916,830,84,188,145239,0,2314951,
I_lacunosa-Solyc02g089810.2.1_1,2923,4447,5411,71116,5584,166,1802,41769,39011,4926,35533,1468,5148,7575,11114,2966,1524,500825,4838,0,7249,1745,0,2672,0,43002,3672,4010,3077,11773,760,2710,2576,1901,774,118,15952,1761520,40863,14313,150966,19509,132185,655812,0,16083,18756,164,37899,5570,0,67229,6363,0,3777369,
I_lacunosa-Solyc04g049850.2.1_1,3729,7512,366432,3584,243990,181620,1227,29678,177304,142731,701170,318986,13732,7678,524586,277139,15933,21677,3161,0,2433,58031,0,9475,496,219828,15690,676479,4138,14793,7542,16393,14907,9397,11013,8364,286315,2186537,260878,207256,118116,78170,47873,2815841,189,135331,358929,276,9252,327553,286,3795,3838,0,10951283,
I_lacunosa-Solyc11g065870.1.1_1,7018,296,228577,2595,45114,746,548,14125,84744,2620,1455,3190,17771,8856,571614,67132,1400,16043,0,0,4508,37947,0,342,0,2320,0,4207,2011,18832,264,214,1045,880,1618,421,138012,1159450,847089,18530,30752,2641,99744,244319,0,151779,83389,0,2054,0,0,740,2520,0,3929472,
I_lacunosa-Solyc01g097340.2.1_1,1920,155847,36263,26797,46563,203,2028,38073,17153,16996,32100,7148,337908,18034,43790,154849,755,426,1138,0,10759,276769,0,1656,280,1718,700,5166,1271,8808,1090,1246,5292,807,92048,14194,579448,1734026,206482,69211,83849,54399,841494,2912425,296,316083,79770,1030,31431,3103,146,340,5361,0,8278689,
I_lacunosa-Solyc07g047790.2.1_1,4734,1610,4762,24375,13977,166,0,6092,151797,4440,5899,1436,85294,4792,419132,4334,175840,269,222883,0,1335,1641,0,2196,86,162,234,299,1036,750307,593,1389,1465,2532,1060,9921,5762,439761,705329,7501,154216,13749,2217,324492,0,188386,9355,796,730021,298,0,875,1205,0,4490051,
