id_comp,names,mol_weight,formula,n_heavy_atom,n_arom_heavy_atom,csp3,n_rotate_bond,n_hbond_acceptors,n_hbond_donors,molar_refrac,tpsa,ilogp,xlogp3,wlogp,mlogp,silicosit,consensus_log,esol_logs,esol_solub_mg,esol_solub_mol,esol_class,ali_logs,ali_solub_mg,ali_solub_mol,ali_class,silicosit_logs,silicosit_solub_mg,silicosit_solub_mol,silicosit_class,gi_absorp,bbb_permeant,pgp_substrate,cyp1a2,cyp2c19,cyp2c9,cyp2d6,cyp3a4,logkp,lipinski,ghose,veber,egan,muegge,bioavail
621,"Anhwiedelphinine",652.73,C35H44N2O10,47,6,0.71,9,11,2,173.87,153.42,3,-0.35,1.02,0.52,2.44,1.33,-3.17,0.444,0.000681,Soluble,-2.41,2.54,0.00389,Soluble,-4.53,0.0192,2.94e-05,Moderately soluble,Low,No,Yes,No,No,No,No,No,-10.53,2,3,1,1,4,0.17
622,"Anopterine",541.68,C31H43NO7,39,0,0.74,6,8,3,149.15,116.53,3.83,2.49,2.14,2.47,2.8,2.75,-4.37,0.023,4.26e-05,Moderately soluble,-4.58,0.0142,2.62e-05,Moderately soluble,-2.62,1.29,0.00238,Soluble,High,No,Yes,No,No,No,No,No,-7.84,1,3,0,0,0,0.55
623,"Inuline; Anthranoyllycoctonine",586.72,C32H46N2O8,42,6,0.78,9,9,3,157.84,132.94,4.18,1.52,1.35,0.92,1.59,1.91,-3.95,0.0663,0.000113,Soluble,-3.92,0.0705,0.00012,Soluble,-4.2,0.0373,6.35e-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-8.8,1,3,0,1,0,0.55
624,"Atisine",343.5,C22H33NO2,25,0,0.91,0,3,1,102.99,32.7,3.56,3.59,3.2,3.9,3.19,3.49,-4.23,0.0202,5.87e-05,Moderately soluble,-3.96,0.0374,0.000109,Soluble,-3.47,0.116,0.000337,Soluble,High,Yes,Yes,No,No,No,No,No,-5.85,0,0,0,0,0,0.55
625,"Avadharidine; Aconitane-7,8-diol, 4-(((2-((4-amino-1,4-dioxobutyl)amino)benzoyl)oxy)methyl)-20-ethyl-1,6,14,16-tetramethoxy-, (1alpha,6beta,14alpha,16beta)-",685.8,C36H51N3O10,49,6,0.75,14,11,4,180.27,179.11,4.63,0.16,0.77,0.03,1.6,1.44,-3.36,0.3,0.000437,Soluble,-3.48,0.228,0.000332,Soluble,-4.82,0.0104,1.52e-05,Moderately soluble,Low,No,Yes,No,No,No,No,No,-10.37,2,3,2,1,3,0.17
626,"Barbinine; Aconitan-14-one, 7,8-dihydroxy-20-ethyl-4-(((2-(3-methyl-2,5-dioxo-1-pyrrolidinyl)benzoyl)oxy)methyl)-1,6,16-trimethoxy-, (1-alpha,4(S),6-beta,16-beta)-",666.76,C36H46N2O10,48,6,0.72,9,11,2,177.59,152.14,4.09,0.32,0.83,0.7,2.17,1.62,-3.67,0.141,0.000212,Soluble,-3.08,0.557,0.000835,Soluble,-4.82,0.0102,1.52e-05,Moderately soluble,Low,No,Yes,No,No,No,No,No,-10.14,2,3,1,1,4,0.17
627,"Cardiopetalidine",363.49,C21H33NO4,26,0,1,1,5,4,101.39,84.16,2.84,0.44,0.36,1.74,0.91,1.26,-2.3,1.8,0.00496,Soluble,-1.78,6.1,0.0168,Very soluble,-1.37,15.6,0.0429,Soluble,High,No,Yes,No,No,No,No,No,-8.2,0,0,0,0,0,0.55
628,"Septentriodine; Cashmiradelphine",700.82,C37H52N2O11,50,6,0.76,15,12,3,183.45,162.32,4.97,1.14,1.46,0.61,2.41,2.12,-4,0.0698,9.95e-05,Moderately soluble,-4.14,0.0504,7.2e-05,Moderately soluble,-5.28,0.00366,5.22e-06,Moderately soluble,Low,No,Yes,No,No,No,No,No,-9.77,2,3,2,1,3,0.17
629,"Cassaidine",407.59,C24H41NO4,29,0,0.88,5,5,2,116.65,70,3.48,3.4,3.25,2.94,2.92,3.2,-4.18,0.027,6.62e-05,Moderately soluble,-4.55,0.0115,2.82e-05,Moderately soluble,-3.31,0.198,0.000486,Soluble,High,Yes,No,No,No,No,No,No,-6.37,0,0,0,0,0,0.55
630,"Cassaine",405.57,C24H39NO4,29,0,0.83,5,5,1,115.69,66.84,3.46,3.12,3.46,2.85,3.51,3.28,-3.99,0.0415,0.000102,Soluble,-4.19,0.026,6.42e-05,Moderately soluble,-4.01,0.0396,9.77e-05,Moderately soluble,High,Yes,No,No,No,No,No,Yes,-6.56,0,0,0,0,0,0.55
631,"Condelphine",449.58,C25H39NO6,32,0,0.96,6,7,2,121.71,88.46,3.99,0.95,1.07,1.64,1.49,1.83,-2.83,0.665,0.00148,Soluble,-2.39,1.81,0.00403,Soluble,-2.34,2.05,0.00455,Soluble,High,No,Yes,No,No,No,No,No,-8.37,0,1,0,0,0,0.55
632,"Cuauchichicine; Veatchine,15-deoxy-16,17-dihydro-15-oxo-, (16-beta,20S)-",343.5,C22H33NO2,25,0,0.95,0,3,0,102.5,29.54,3.43,4.17,3.49,3.9,3.51,3.7,-4.6,0.00869,2.53e-05,Moderately soluble,-4.5,0.0109,3.17e-05,Moderately soluble,-3.94,0.0398,0.000116,Soluble,High,Yes,No,No,No,No,No,No,-5.43,0,0,0,0,0,0.55
633,"14-Deacetylnudicauline",668.77,C36H48N2O10,48,6,0.75,9,11,3,178.55,155.3,4.59,0.47,0.62,0.78,1.58,1.61,-3.78,0.111,0.000166,Soluble,-3.3,0.335,0.000501,Soluble,-4.12,0.0507,7.59e-05,Moderately soluble,Low,No,Yes,No,No,No,No,No,-10.05,2,3,1,1,4,0.17
634,"Delavaine A",714.84,C38H54N2O11,51,6,0.76,15,12,3,188.26,162.32,5.17,1.71,1.7,0.78,2.66,2.4,-4.45,0.0256,3.58e-05,Moderately soluble,-4.73,0.0132,1.84e-05,Moderately soluble,-5.29,0.00365,5.11e-06,Moderately soluble,Low,No,Yes,No,No,No,No,No,-9.45,2,3,2,1,3,0.17
635,"Delcorine",479.61,C26H41NO7,34,0,1,6,8,1,126.34,78.85,2.24,0.36,0.91,0.8,1.51,1.16,-2.64,1.09,0.00227,Soluble,-1.58,12.6,0.0263,Very soluble,-2.81,0.75,0.00156,Soluble,High,No,Yes,No,No,No,No,No,-8.97,0,1,0,0,0,0.55
636,"Delcosine",453.57,C24H39NO7,32,0,1,5,8,4,119.07,111.85,3.09,-1.12,-0.76,-0.02,0.16,0.27,-1.62,11,0.0242,Very soluble,-0.74,83,0.183,Very soluble,-1.23,26.8,0.0592,Soluble,High,No,Yes,No,No,No,No,No,-9.86,0,2,0,0,0,0.55
637,"Delphinine",599.71,C33H45NO9,43,6,0.76,10,10,1,158.37,112.99,3.71,1.86,1.94,1.56,2.41,2.3,-4.17,0.0402,6.71e-05,Moderately soluble,-3.85,0.0839,0.00014,Soluble,-4.79,0.00984,1.64e-05,Moderately soluble,High,No,Yes,No,Yes,No,Yes,No,-8.64,1,3,0,0,0,0.55
638,"Delsoline",467.6,C25H41NO7,33,0,1,6,8,3,123.8,100.85,3.31,-0.58,-0.11,0.19,0.71,0.7,-1.98,4.92,0.0105,Very soluble,-1.07,40.1,0.0857,Very soluble,-1.92,5.66,0.0121,Soluble,High,No,Yes,No,No,No,No,No,-9.56,0,1,0,0,0,0.55
639,"Deltaline; Aconitane-6,10-diol, 20-ethyl-4-methyl-7,8-(methylenebis(oxy))-, 1,14,16-trimethoxy-, 6-acetate, (1-alpha,6-beta,14-alpha,16-beta)-",507.62,C27H41NO8,36,0,0.96,6,9,1,131.38,95.92,3.9,0.56,0.97,0.89,1.58,1.58,-2.94,0.577,0.00114,Soluble,-2.15,3.62,0.00713,Soluble,-2.93,0.602,0.00119,Soluble,High,No,Yes,No,No,No,No,No,-9,1,3,0,0,0,0.55
640,"Denudatine",343.5,C22H33NO2,25,0,0.91,1,3,2,103.06,43.7,3.41,2.37,2.44,3.49,2.69,2.88,-3.4,0.138,0.000401,Soluble,-2.93,0.405,0.00118,Soluble,-2.93,0.405,0.00118,Soluble,High,Yes,Yes,No,No,No,No,No,-6.71,0,0,0,0,0,0.55
641,"Elatine; Aconitane-4-methanol, 20-ethyl-7,8-(methylenebis(oxy))-, 1,6,14,16-tetramethoxy-2-(3-methyl-2,5-dioxo-1-pyrrolidinyl)benzoate(ester), (1-alpha,6-beta,14-alpha,16-beta)-",694.81,C38H50N2O10,50,6,0.76,10,11,0,185.82,122.3,5.12,1.95,2.29,1.53,2.92,2.76,-4.81,0.0109,1.57e-05,Moderately soluble,-4.14,0.05,7.19e-05,Moderately soluble,-5.69,0.00143,2.06e-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-9.15,2,3,0,0,3,0.17
642,"Erythrophleguine",449.58,C25H39NO6,32,0,0.8,7,7,1,121.78,93.14,4.04,2.94,2.61,2.16,3.03,2.96,-4.02,0.0432,9.6e-05,Moderately soluble,-4.56,0.0124,2.77e-05,Moderately soluble,-3.66,0.099,0.00022,Soluble,High,No,No,No,No,No,No,Yes,-6.96,0,1,0,0,0,0.55
643,"Falaconitine",629.74,C34H47NO10,45,6,0.74,11,11,2,165.91,125.38,4.43,0.83,1.55,0.71,2.08,1.92,-3.64,0.144,0.000229,Soluble,-3.05,0.567,0.000901,Soluble,-4.29,0.0327,5.19e-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-9.55,2,3,1,0,2,0.17
644,"Finaconitine",630.73,C33H46N2O10,45,6,0.76,10,11,5,164.26,167.25,3.13,-0.3,0.13,-0.09,1.38,0.85,-3,0.63,0.001,Soluble,-2.75,1.12,0.00177,Soluble,-4.28,0.0334,5.3e-05,Moderately soluble,Low,No,Yes,No,No,No,No,No,-10.36,2,3,1,1,3,0.17
645,"Garryine",343.5,C22H33NO2,25,0,0.91,0,3,1,102.99,32.7,3.24,3.59,3.2,3.9,3.19,3.42,-4.23,0.0202,5.87e-05,Moderately soluble,-3.96,0.0374,0.000109,Soluble,-3.47,0.116,0.000337,Soluble,High,Yes,Yes,No,No,No,No,No,-5.85,0,0,0,0,0,0.55
646,"Hetisine; Hetisan-2,11,13-triol",329.43,C20H27NO3,24,0,0.9,0,4,3,92.5,63.93,2.47,0.47,0.38,2.2,0.9,1.28,-2.18,2.18,0.00663,Soluble,-1.38,13.7,0.0415,Very soluble,-1.1,26,0.0789,Soluble,High,No,Yes,No,No,No,No,No,-7.98,0,0,0,0,0,0.55
647,"Hypaconitine",615.71,C33H45NO10,44,6,0.76,10,11,2,159.53,133.22,4.16,0.88,0.91,0.8,1.53,1.66,-3.65,0.137,0.000222,Soluble,-3.26,0.337,0.000547,Soluble,-3.96,0.0678,0.00011,Soluble,High,No,Yes,No,No,No,Yes,No,-9.43,2,3,0,1,2,0.17
648,"Icaceine",375.5,C22H33NO4,27,0,0.86,1,5,1,102.47,59,2.67,1.96,2.38,2.52,2.12,2.33,-3.34,0.173,0.00046,Soluble,-2.82,0.563,0.0015,Soluble,-2.93,0.44,0.00117,Soluble,High,Yes,Yes,No,No,No,No,No,-7.2,0,0,0,0,0,0.55
649,"Icacine",405.48,C22H31NO6,29,0,0.95,1,7,1,100.96,80.76,2.22,0.61,0.93,1.42,1.68,1.37,-2.67,0.862,0.00213,Soluble,-1.88,5.34,0.0132,Very soluble,-2.49,1.31,0.00322,Soluble,High,No,Yes,No,No,No,No,No,-8.34,0,0,0,0,0,0.55
650,"Indaconitine",629.74,C34H47NO10,45,6,0.76,11,11,2,164.34,133.22,3.49,1.25,1.3,0.98,1.94,1.79,-3.9,0.0785,0.000125,Soluble,-3.65,0.142,0.000226,Soluble,-4.34,0.0285,4.53e-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-9.25,2,3,1,1,2,0.17
651,"Jesaconitine",675.76,C35H49NO12,48,6,0.77,12,13,3,171.99,162.68,4.13,0.25,0.28,-0.07,1.17,1.15,-3.49,0.22,0.000325,Soluble,-3.23,0.401,0.000593,Soluble,-3.6,0.169,0.000251,Soluble,Low,No,Yes,No,No,No,No,No,-10.24,2,3,2,1,3,0.17
652,"Karakoline; Aconitane-1,8,14-triol, 20-ethyl-16-methoxy-4-methyl-, (1-alpha,14-alpha,16-beta)-",377.52,C22H35NO4,27,0,1,2,5,3,106.08,73.16,2.85,1.06,0.87,1.96,1.06,1.56,-2.72,0.725,0.00192,Soluble,-2.19,2.45,0.00649,Soluble,-1.61,9.27,0.0245,Soluble,High,No,Yes,No,No,No,No,No,-7.85,0,0,0,0,0,0.55
653,"Lappaconitine",584.7,C32H44N2O8,42,6,0.75,9,9,3,157.35,126.79,2.92,1.59,1.65,1.24,1.94,1.87,-3.98,0.0614,0.000105,Soluble,-3.86,0.08,0.000137,Soluble,-4.64,0.0133,2.27e-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-8.74,1,3,0,0,0,0.55
654,"Lindheimerine",341.49,C22H31NO2,25,0,0.82,2,3,0,104.34,38.66,3.22,3.42,4.18,4.1,4.8,3.94,-3.98,0.0358,0.000105,Soluble,-3.91,0.0418,0.000122,Soluble,-4.54,0.00983,2.88e-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-5.95,0,0,0,0,0,0.55
655,"Lycaconitine",668.77,C36H48N2O10,48,6,0.75,10,11,2,178.48,144.3,4.16,0.43,1.03,0.78,2.02,1.68,-3.69,0.137,0.000204,Soluble,-3.03,0.627,0.000938,Soluble,-4.67,0.0144,2.16e-05,Moderately soluble,Low,No,Yes,No,No,No,No,No,-10.07,2,3,1,1,3,0.17
656,"Lycoctonine",467.6,C25H41NO7,33,0,1,6,8,3,123.8,100.85,3.77,-0.58,-0.11,0.19,0.71,0.8,-1.98,4.92,0.0105,Very soluble,-1.07,40.1,0.0857,Very soluble,-1.92,5.66,0.0121,Soluble,High,No,Yes,No,No,No,No,No,-9.56,0,1,0,0,0,0.55
657,"Mesaconitine",631.71,C33H45NO11,45,6,0.76,10,12,3,160.69,153.45,3.44,-0.09,-0.12,0.05,0.65,0.78,-3.14,0.459,0.000727,Soluble,-2.68,1.32,0.00209,Soluble,-3.13,0.467,0.00074,Soluble,Low,No,Yes,No,No,No,No,No,-10.22,2,3,1,1,3,0.17
658,"Methyllycaconitine",682.8,C37H50N2O10,49,6,0.76,10,11,2,183.29,144.3,4.83,1,1.27,0.95,2.15,2.04,-4.13,0.0502,7.35e-05,Moderately soluble,-3.62,0.164,0.00024,Soluble,-4.8,0.0108,1.58e-05,Moderately soluble,Low,No,Yes,No,No,No,No,No,-9.76,2,3,1,1,3,0.17
659,"Napelline",359.5,C22H33NO3,26,0,0.91,1,4,3,104.23,63.93,2.98,1.22,1.41,2.64,1.79,2.01,-2.77,0.608,0.00169,Soluble,-2.16,2.49,0.00692,Soluble,-2.11,2.77,0.00771,Soluble,High,Yes,Yes,No,No,No,No,No,-7.63,0,0,0,0,0,0.55
660,"Norerythrostachaldine",407.54,C23H37NO5,29,0,0.83,6,6,3,111.95,95.86,2.8,2.12,2.08,1.82,2.67,2.3,-3.31,0.201,0.000494,Soluble,-3.76,0.0701,0.000172,Soluble,-3.2,0.255,0.000627,Soluble,High,No,Yes,No,No,No,No,Yes,-7.28,0,0,0,0,0,0.55
661,"Nudicauline",710.81,C38H50N2O11,51,6,0.74,11,12,2,188.29,161.37,4.75,1.04,1.19,1.52,2.12,2.12,-4.26,0.0388,5.45e-05,Moderately soluble,-4.02,0.068,9.57e-05,Moderately soluble,-4.71,0.0139,1.95e-05,Moderately soluble,Low,No,Yes,No,No,No,No,No,-9.9,2,3,2,1,4,0.17
662,"Pseudoaconitine",689.79,C36H51NO12,49,6,0.78,13,13,2,177.32,151.68,4.14,1.19,1.31,0.38,2.15,1.83,-4.1,0.0549,7.96e-05,Moderately soluble,-3.97,0.0737,0.000107,Soluble,-4.51,0.0211,3.06e-05,Moderately soluble,Low,No,Yes,No,No,No,No,No,-9.66,2,3,2,1,3,0.17
663,"Ryanodine; Ryania",493.55,C25H35NO9,35,5,0.8,4,9,7,120.6,172.7,2.41,-0.45,-0.19,-0.27,1.27,0.55,-2.46,1.72,0.00348,Soluble,-2.71,0.96,0.00195,Soluble,-2.49,1.6,0.00324,Soluble,Low,No,Yes,No,No,No,No,No,-9.63,1,1,1,1,2,0.55
664,"Septentrionine",714.84,C38H54N2O11,51,6,0.76,16,12,2,188.19,151.32,5.11,1.67,2.11,0.78,2.98,2.53,-4.36,0.0316,4.41e-05,Moderately soluble,-4.46,0.0247,3.45e-05,Moderately soluble,-5.96,0.000777,1.09e-06,Moderately soluble,Low,No,Yes,No,No,No,No,Yes,-9.47,2,3,2,1,4,0.17
665,"Songorine; Zongorine; Napellonine",357.49,C22H31NO3,26,0,0.86,1,4,2,103.26,60.77,2.78,1.1,1.62,2.53,2.38,2.08,-2.68,0.741,0.00207,Soluble,-1.97,3.84,0.0107,Very soluble,-2.81,0.555,0.00155,Soluble,High,Yes,Yes,No,No,No,No,No,-7.7,0,0,0,0,0,0.55
666,"Spiradine A; 6-Hydroxyhetisan-11-one",311.42,C20H25NO2,23,0,0.85,0,3,1,90.41,40.54,2.53,1.86,1.97,3.35,2.79,2.5,-2.94,0.355,0.00114,Soluble,-2.33,1.45,0.00465,Soluble,-3.06,0.27,0.000867,Soluble,High,Yes,Yes,No,No,No,No,No,-6.88,0,0,0,0,0,0.55
667,"Spiramine A",399.52,C24H33NO4,29,0,0.88,2,5,0,111.7,48,3.51,3.47,3.1,3.75,2.83,3.33,-4.37,0.017,4.25e-05,Moderately soluble,-4.16,0.0276,6.92e-05,Moderately soluble,-3.35,0.177,0.000444,Soluble,High,Yes,Yes,No,No,No,No,No,-6.27,0,0,0,0,0,0.55
668,"Spirasine I",355.47,C22H29NO3,26,0,0.86,0,4,1,101.11,49.77,2.96,1.56,2.13,2.94,2.57,2.43,-3.03,0.334,0.00094,Soluble,-2.22,2.17,0.00609,Soluble,-3.09,0.292,0.00082,Soluble,High,Yes,Yes,No,No,No,No,No,-7.36,0,0,0,0,0,0.55
669,"Spiredine",353.45,C22H27NO3,26,0,0.82,0,4,0,100.11,46.61,2.76,1.68,2.19,2.84,3.05,2.5,-3.09,0.287,0.000813,Soluble,-2.27,1.88,0.00533,Soluble,-3.58,0.093,0.000263,Soluble,High,Yes,Yes,No,No,No,No,No,-7.26,0,0,0,0,0,0.55
670,"Staphidine",606.92,C42H58N2O,45,0,0.9,0,3,0,188.76,15.71,5.73,6.5,7.1,7.15,6.41,6.58,-7.7,1.22e-05,2e-08,Poorly soluble,-6.63,0.000144,2.37e-07,Poorly soluble,-7.61,1.5e-05,2.47e-08,Poorly soluble,Low,No,Yes,No,No,No,No,No,-5.39,2,4,0,1,3,0.17
671,"Talatizamine",421.57,C24H39NO5,30,0,1,5,6,2,116.71,71.39,3.98,0.91,1.15,1.57,1.54,1.83,-2.7,0.847,0.00201,Soluble,-1.99,4.27,0.0101,Very soluble,-2.42,1.6,0.00379,Soluble,High,No,Yes,No,No,No,No,No,-8.23,0,0,0,0,0,0.55
672,"Thalicsessine; 21-(2-Hydroxyethyl)-6,21-secohetisan-6,11,19-trione",369.45,C22H27NO4,27,0,0.77,2,4,1,102.5,74.68,2.17,0.34,1.36,1.92,2.94,1.75,-2.21,2.26,0.00613,Soluble,-1.47,12.5,0.0337,Very soluble,-3.63,0.0864,0.000234,Soluble,High,No,Yes,No,No,No,No,No,-8.31,0,0,0,0,0,0.55
673,"Tricornine",509.63,C27H43NO8,36,0,0.96,8,9,2,133.53,106.92,3.79,-0.01,0.46,0.48,1.23,1.19,-2.47,1.75,0.00342,Soluble,-1.79,8.34,0.0164,Very soluble,-2.52,1.54,0.00301,Soluble,High,No,Yes,No,No,No,No,No,-9.42,1,3,0,0,0,0.55
924,"1-Acetylaspidoalbidine",338.44,C21H26N2O2,25,6,0.67,1,3,0,103.42,32.78,3.2,2.41,2.29,3.21,2.83,2.79,-3.57,0.0915,0.00027,Soluble,-2.74,0.615,0.00182,Soluble,-4.44,0.0122,3.61e-05,Moderately soluble,High,Yes,No,No,No,No,Yes,Yes,-6.65,0,0,0,0,0,0.55
925,"Agroclavine",238.33,C16H18N2,18,9,0.38,0,1,1,79.18,19.03,2.43,2.55,2.69,2.79,3.24,2.74,-3.29,0.121,0.000508,Soluble,-2.6,0.603,0.00253,Soluble,-4.35,0.0106,4.46e-05,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,No,-5.94,0,0,0,0,0,0.55
926,"Ajmalicine; Raubasine",352.43,C21H24N2O3,26,9,0.48,2,4,1,103.47,54.56,3.18,2.75,2.47,2.13,2.78,2.66,-3.88,0.0463,0.000131,Soluble,-3.55,0.0992,0.000281,Soluble,-4.38,0.0147,4.16e-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.5,0,0,0,0,0,0.56
927,"Akuammicine",322.4,C20H22N2O2,24,6,0.45,2,3,1,99.91,41.57,3.15,2.38,1.88,2.82,2.79,2.6,-3.39,0.131,0.000406,Soluble,-2.89,0.412,0.00128,Soluble,-4.52,0.00983,3.05e-05,Moderately soluble,High,Yes,Yes,No,Yes,No,Yes,Yes,-6.58,0,0,0,0,0,0.55
928,"Alstonine",348.4,C21H20N2O3,26,13,0.33,2,4,0,99.59,53.35,3.23,2.58,3.45,2.21,2.78,2.85,-3.86,0.0477,0.000137,Soluble,-3.35,0.156,0.000448,Soluble,-4.92,0.00414,1.19e-05,Moderately soluble,High,Yes,No,No,Yes,No,Yes,Yes,-6.59,0,0,0,0,0,0.56
932,"Angustine",313.35,C20H15N3O,24,19,0.1,1,2,1,97.5,50.68,2.49,3.05,3.64,2.6,4.57,3.27,-4.22,0.0187,5.97e-05,Moderately soluble,-3.78,0.0519,0.000166,Soluble,-6.79,5.05e-05,1.61e-07,Poorly soluble,High,Yes,Yes,Yes,No,No,No,Yes,-6.05,0,0,0,0,0,0.55
933,"Apodine",366.41,C21H22N2O4,27,6,0.52,2,5,1,104.1,67.87,2.75,1.9,1.01,2.21,2.19,2.01,-3.34,0.167,0.000456,Soluble,-2.95,0.413,0.00113,Soluble,-4.52,0.0111,3.03e-05,Moderately soluble,High,No,No,No,No,No,Yes,Yes,-7.19,0,0,0,0,0,0.55
934,"Apovincamine",336.43,C21H24N2O2,25,9,0.48,3,3,0,103.01,34.47,3.43,3.75,3.05,2.96,3.1,3.26,-4.36,0.0148,4.4e-05,Moderately soluble,-4.17,0.0229,6.82e-05,Moderately soluble,-4.63,0.00787,2.34e-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-5.69,0,0,0,0,0,0.55
935,"Aricine",382.45,C22H26N2O4,28,9,0.5,3,5,1,109.96,63.79,3.29,2.72,2.48,1.8,2.83,2.63,-3.96,0.0415,0.000108,Soluble,-3.71,0.074,0.000193,Soluble,-4.49,0.0125,3.27e-05,Moderately soluble,High,Yes,No,No,No,No,Yes,No,-6.7,0,0,0,0,0,0.56
936,"Aspidofractine",366.45,C22H26N2O3,27,6,0.64,3,4,0,108.82,49.85,3.12,2.33,1.72,3.32,2.55,2.61,-3.55,0.104,0.000284,Soluble,-3.02,0.353,0.000964,Soluble,-4.14,0.0265,7.23e-05,Moderately soluble,High,Yes,No,No,Yes,No,Yes,Yes,-6.88,0,0,0,0,0,0.55
937,"Aspidospermine",354.49,C22H30N2O2,26,6,0.68,3,3,0,110.9,32.78,3.29,3.37,2.96,3.29,3.3,3.24,-4.13,0.0261,7.35e-05,Moderately soluble,-3.74,0.065,0.000183,Soluble,-4.84,0.00512,1.45e-05,Moderately soluble,High,Yes,No,No,No,No,Yes,No,-6.07,0,0,0,0,0,0.55
939,"Baloxine",368.43,C21H24N2O4,27,6,0.52,3,5,2,106.29,78.87,2.55,1.4,0.64,1.4,2.23,1.64,-2.97,0.392,0.00106,Soluble,-2.66,0.806,0.00219,Soluble,-4.32,0.0178,4.82e-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.55,0,0,0,0,0,0.55
940,"Bleekerine",408.45,C23H24N2O5,30,13,0.39,4,6,0,112.57,71.81,3.89,2.53,3.47,1.56,2.89,2.87,-4.02,0.0387,9.49e-05,Moderately soluble,-3.68,0.0844,0.000207,Soluble,-5.13,0.003,7.35e-06,Moderately soluble,High,Yes,No,No,Yes,Yes,Yes,Yes,-7,0,0,0,0,0,0.56
945,"Borrerine",240.34,C16H20N2,18,9,0.38,1,1,1,81.3,19.03,2.94,3.66,2.96,2.79,3.68,3.21,-3.94,0.0276,0.000115,Soluble,-3.75,0.0429,0.000178,Soluble,-4.48,0.00801,3.33e-05,Moderately soluble,High,Yes,No,Yes,No,No,Yes,No,-5.17,0,0,0,0,0,0.55
971,"Brevicolline",265.35,C17H19N3,20,13,0.35,1,2,1,87.46,31.92,2.47,3.08,3.09,2.31,3.89,2.97,-3.84,0.0383,0.000144,Soluble,-3.42,0.101,0.000382,Soluble,-5.58,0.000701,2.64e-06,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-5.73,0,0,0,0,0,0.55
972,"Brucine",394.46,C23H26N2O4,29,6,0.61,2,5,0,114.04,51.24,3.25,0.98,1.35,2.04,1.84,1.89,-2.92,0.47,0.00119,Soluble,-1.64,8.95,0.0227,Very soluble,-3.61,0.0966,0.000245,Soluble,High,Yes,No,No,No,No,Yes,No,-8.01,0,0,0,0,0,0.55
982,"Calycanthidine",360.5,C23H28N4,27,12,0.48,1,2,1,123.86,21.75,3.31,4.06,1.35,3.74,2.3,2.95,-4.9,0.00458,1.27e-05,Moderately soluble,-4.22,0.0217,6.01e-05,Moderately soluble,-5.81,0.000558,1.55e-06,Moderately soluble,High,Yes,No,No,No,No,Yes,No,-5.62,0,0,0,0,0,0.55
989,"Catharanthine",336.43,C21H24N2O2,25,9,0.48,3,3,1,102.27,45.33,3.3,2.8,2.79,2.96,3.73,3.12,-3.76,0.0587,0.000174,Soluble,-3.41,0.131,0.00039,Soluble,-5.23,0.002,5.94e-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,Yes,-6.36,0,0,0,0,0,0.55
1011,"Catharine",822.94,C46H54N4O10,60,15,0.5,11,11,2,233.75,168.01,5.17,2.94,3.1,2.21,4.92,3.67,-6.25,0.000459,5.58e-07,Poorly soluble,-6.13,0.00061,7.41e-07,Poorly soluble,-8.58,2.18e-06,2.65e-09,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-9.23,2,3,2,1,4,0.17
1013,"(-)-Chimonanthine",346.47,C22H26N4,26,12,0.45,1,2,2,118.96,30.54,2.67,3.92,1.13,3.53,2.37,2.72,-4.73,0.0064,1.85e-05,Moderately soluble,-4.26,0.019,5.49e-05,Moderately soluble,-6.15,0.000246,7.11e-07,Poorly soluble,High,Yes,Yes,No,No,No,Yes,No,-5.63,0,0,0,0,0,0.55
1019,"Coronaridine; (-)-Coronaridine",338.44,C21H26N2O2,25,9,0.57,3,3,1,102.74,45.33,3.3,3.54,2.87,3.04,3.74,3.3,-4.24,0.0196,5.79e-05,Moderately soluble,-4.18,0.0225,6.66e-05,Moderately soluble,-5.24,0.00193,5.71e-06,Moderately soluble,High,Yes,No,No,No,No,Yes,No,-5.85,0,0,0,0,0,0.55
1023,"C-Curarine; C-Curarine I",596.8,C40H44N4O,45,12,0.5,0,1,0,194.37,15.71,-4.37,3.75,4.58,-1.55,4.07,1.3,-6.1,0.000474,7.94e-07,Poorly soluble,-3.77,0.101,0.000169,Soluble,-9.35,2.66e-07,4.46e-10,Poorly soluble,High,Yes,Yes,No,No,No,No,No,-7.28,1,3,0,0,1,0.55
